[2023-04-07 11:40:08] - Loading tables...
[2023-04-07 11:40:08] - Converting table ukf7_commentmeta
[2023-04-07 11:40:08] - Converting table ukf7_comments
[2023-04-07 11:40:08] - Converting table ukf7_links
[2023-04-07 11:40:08] - Converting table ukf7_options
[2023-04-07 11:40:08] - Converting table ukf7_postmeta
[2023-04-07 11:40:08] - Converting table ukf7_posts
[2023-04-07 11:40:08] - Converting table ukf7_term_relationships
[2023-04-07 11:40:08] - Converting table ukf7_term_taxonomy
[2023-04-07 11:40:08] - Converting table ukf7_termmeta
[2023-04-07 11:40:08] - Converting table ukf7_terms
[2023-04-07 11:40:09] - Converting table ukf7_usermeta
[2023-04-07 11:40:09] - Converting table ukf7_users
